OptionKey,Symbol,ExpirationDate,AskPrice,AskSize,BidPrice,BidSize,LastPrice,PutCall,StrikePrice,Volume,OpenInterest,UnderlyingPrice,DataDate
SPY2020-09-02C165.002020-08-04,SPY,2020-09-02,165.01,10,164.73,50,0,call,165.00,0,0,330.0600,2020-08-04
SPY2020-09-02C170.002020-08-04,SPY,2020-09-02,160.02,10,159.74,50,0,call,170.00,0,0,330.0600,2020-08-04
SPY2020-09-02C175.002020-08-04,SPY,2020-09-02,155.02,10,154.74,50,0,call,175.00,0,0,330.0600,2020-08-04
SPY2020-09-02C180.002020-08-04,SPY,2020-09-02,150.03,10,149.75,50,0,call,180.00,0,0,330.0600,2020-08-04
SPY2020-09-02C185.002020-08-04,SPY,2020-09-02,145.04,10,144.76,50,0,call,185.00,0,0,330.0600,2020-08-04
SPY2020-09-02C190.002020-08-04,SPY,2020-09-02,140.04,10,139.76,50,0,call,190.00,0,0,330.0600,2020-08-04
SPY2020-09-02C195.002020-08-04,SPY,2020-09-02,135.05,10,134.77,50,0,call,195.00,0,0,330.0600,2020-08-04
SPY2020-09-02C200.002020-08-04,SPY,2020-09-02,130.06,10,129.78,50,0,call,200.00,0,0,330.0600,2020-08-04
SPY2020-09-02C205.002020-08-04,SPY,2020-09-02,125.07,10,124.79,50,0,call,205.00,0,0,330.0600,2020-08-04
SPY2020-09-02C210.002020-08-04,SPY,2020-09-02,120.08,10,119.80,50,0,call,210.00,0,0,330.0600,2020-08-04
SPY2020-09-02C215.002020-08-04,SPY,2020-09-02,115.10,10,114.82,50,0,call,215.00,0,0,330.0600,2020-08-04
SPY2020-09-02C220.002020-08-04,SPY,2020-09-02,110.11,10,109.83,50,0,call,220.00,0,0,330.0600,2020-08-04
SPY2020-09-02C225.002020-08-04,SPY,2020-09-02,105.12,10,104.85,50,0,call,225.00,0,0,330.0600,2020-08-04
SPY2020-09-02C230.002020-08-04,SPY,2020-09-02,100.14,10,99.86,50,0,call,230.00,0,0,330.0600,2020-08-04
SPY2020-09-02C235.002020-08-04,SPY,2020-09-02,95.15,10,94.88,50,0,call,235.00,0,0,330.0600,2020-08-04
SPY2020-09-02C240.002020-08-04,SPY,2020-09-02,90.17,14,89.90,50,0,call,240.00,0,0,330.0600,2020-08-04
SPY2020-09-02C245.002020-08-04,SPY,2020-09-02,85.20,14,84.92,50,0,call,245.00,0,0,330.0600,2020-08-04
SPY2020-09-02C250.002020-08-04,SPY,2020-09-02,80.22,14,79.95,50,0,call,250.00,0,0,330.0600,2020-08-04
SPY2020-09-02C255.002020-08-04,SPY,2020-09-02,75.25,14,74.98,50,0,call,255.00,0,0,330.0600,2020-08-04
SPY2020-09-02C260.002020-08-04,SPY,2020-09-02,70.29,14,70.02,50,0,call,260.00,0,0,330.0600,2020-08-04
SPY2020-09-02C265.002020-08-04,SPY,2020-09-02,65.34,14,65.07,50,0,call,265.00,0,0,330.0600,2020-08-04
SPY2020-09-02C270.002020-08-04,SPY,2020-09-02,60.40,14,60.14,50,0,call,270.00,0,0,330.0600,2020-08-04
SPY2020-09-02C275.002020-08-04,SPY,2020-09-02,55.48,14,55.22,50,0,call,275.00,0,0,330.0600,2020-08-04
SPY2020-09-02C280.002020-08-04,SPY,2020-09-02,50.59,14,50.33,50,44.03,call,280.00,0,1,330.0600,2020-08-04
SPY2020-09-02C285.002020-08-04,SPY,2020-09-02,45.73,14,45.48,50,0,call,285.00,0,0,330.0600,2020-08-04
SPY2020-09-02C290.002020-08-04,SPY,2020-09-02,40.92,14,40.68,50,0,call,290.00,0,0,330.0600,2020-08-04
SPY2020-09-02C295.002020-08-04,SPY,2020-09-02,36.18,14,35.94,50,30.14,call,295.00,0,1,330.0600,2020-08-04
SPY2020-09-02C298.002020-08-04,SPY,2020-09-02,33.36,15,33.13,101,0,call,298.00,0,0,330.0600,2020-08-04
SPY2020-09-02C299.002020-08-04,SPY,2020-09-02,32.44,18,32.20,101,0,call,299.00,0,0,330.0600,2020-08-04
SPY2020-09-02C300.002020-08-04,SPY,2020-09-02,31.51,14,31.28,81,30.70,call,300.00,30,7,330.0600,2020-08-04
SPY2020-09-02C301.002020-08-04,SPY,2020-09-02,30.58,14,30.36,101,29.41,call,301.00,2,0,330.0600,2020-08-04
SPY2020-09-02C302.002020-08-04,SPY,2020-09-02,29.67,14,29.44,101,0,call,302.00,0,0,330.0600,2020-08-04
SPY2020-09-02C303.002020-08-04,SPY,2020-09-02,28.75,14,28.53,50,0,call,303.00,0,0,330.0600,2020-08-04
SPY2020-09-02C304.002020-08-04,SPY,2020-09-02,27.78,7,27.69,7,0,call,304.00,0,0,330.0600,2020-08-04
SPY2020-09-02C305.002020-08-04,SPY,2020-09-02,26.87,7,26.78,7,22.86,call,305.00,0,15,330.0600,2020-08-04
SPY2020-09-02C306.002020-08-04,SPY,2020-09-02,25.97,7,25.88,8,25.33,call,306.00,2,2,330.0600,2020-08-04
SPY2020-09-02C307.002020-08-04,SPY,2020-09-02,25.08,7,24.99,7,0,call,307.00,0,0,330.0600,2020-08-04
SPY2020-09-02C308.002020-08-04,SPY,2020-09-02,24.19,7,24.10,7,20.00,call,308.00,0,3,330.0600,2020-08-04
SPY2020-09-02C309.002020-08-04,SPY,2020-09-02,23.31,7,23.22,7,22.37,call,309.00,0,3,330.0600,2020-08-04
SPY2020-09-02C310.002020-08-04,SPY,2020-09-02,22.43,7,22.35,7,21.81,call,310.00,2,5,330.0600,2020-08-04
SPY2020-09-02C311.002020-08-04,SPY,2020-09-02,21.56,7,21.48,7,0,call,311.00,0,0,330.0600,2020-08-04
SPY2020-09-02C312.002020-08-04,SPY,2020-09-02,20.70,7,20.62,7,20.35,call,312.00,6,5,330.0600,2020-08-04
SPY2020-09-02C313.002020-08-04,SPY,2020-09-02,19.84,7,19.76,7,15.72,call,313.00,0,10,330.0600,2020-08-04
SPY2020-09-02C314.002020-08-04,SPY,2020-09-02,18.99,7,18.91,7,14.95,call,314.00,0,5,330.0600,2020-08-04
SPY2020-09-02C315.002020-08-04,SPY,2020-09-02,18.15,7,18.07,7,18.11,call,315.00,8,12,330.0600,2020-08-04
SPY2020-09-02C316.002020-08-04,SPY,2020-09-02,17.32,7,17.24,7,12.73,call,316.00,0,11,330.0600,2020-08-04
SPY2020-09-02C317.002020-08-04,SPY,2020-09-02,16.50,9,16.42,9,15.50,call,317.00,0,13,330.0600,2020-08-04
SPY2020-09-02C318.002020-08-04,SPY,2020-09-02,15.68,7,15.60,9,15.32,call,318.00,0,23,330.0600,2020-08-04
SPY2020-09-02C319.002020-08-04,SPY,2020-09-02,14.87,1,14.82,1,14.38,call,319.00,0,30,330.0600,2020-08-04
SPY2020-09-02C320.002020-08-04,SPY,2020-09-02,14.08,14,14.03,14,13.90,call,320.00,0,12,330.0600,2020-08-04
SPY2020-09-02C321.002020-08-04,SPY,2020-09-02,13.30,14,13.25,14,13.40,call,321.00,1,173,330.0600,2020-08-04
SPY2020-09-02C322.002020-08-04,SPY,2020-09-02,12.53,20,12.48,28,12.19,call,322.00,0,12,330.0600,2020-08-04
SPY2020-09-02C323.002020-08-04,SPY,2020-09-02,11.78,28,11.72,22,11.70,call,323.00,25,28,330.0600,2020-08-04
SPY2020-09-02C324.002020-08-04,SPY,2020-09-02,11.04,42,10.99,42,10.73,call,324.00,0,35,330.0600,2020-08-04
SPY2020-09-02C325.002020-08-04,SPY,2020-09-02,10.31,30,10.26,36,10.30,call,325.00,20,75,330.0600,2020-08-04
SPY2020-09-02C326.002020-08-04,SPY,2020-09-02,9.61,56,9.56,56,9.40,call,326.00,156,210,330.0600,2020-08-04
SPY2020-09-02C327.002020-08-04,SPY,2020-09-02,8.92,40,8.87,51,8.47,call,327.00,167,241,330.0600,2020-08-04
SPY2020-09-02C328.002020-08-04,SPY,2020-09-02,8.26,44,8.21,56,8.09,call,328.00,66,32,330.0600,2020-08-04
SPY2020-09-02C329.002020-08-04,SPY,2020-09-02,7.61,40,7.56,55,7.22,call,329.00,155,38,330.0600,2020-08-04
SPY2020-09-02C330.002020-08-04,SPY,2020-09-02,6.99,70,6.94,200,7.07,call,330.00,248,334,330.0600,2020-08-04
SPY2020-09-02C331.002020-08-04,SPY,2020-09-02,6.39,50,6.35,70,6.04,call,331.00,0,10,330.0600,2020-08-04
SPY2020-09-02C332.002020-08-04,SPY,2020-09-02,5.82,50,5.78,70,5.17,call,332.00,136,135,330.0600,2020-08-04
SPY2020-09-02C333.002020-08-04,SPY,2020-09-02,5.28,50,5.24,70,4.88,call,333.00,9,11,330.0600,2020-08-04
SPY2020-09-02C334.002020-08-04,SPY,2020-09-02,4.77,79,4.73,70,4.79,call,334.00,12,36,330.0600,2020-08-04
SPY2020-09-02C335.002020-08-04,SPY,2020-09-02,4.28,50,4.24,162,4.11,call,335.00,10,42,330.0600,2020-08-04
SPY2020-09-02C336.002020-08-04,SPY,2020-09-02,3.83,93,3.79,378,3.75,call,336.00,1,10,330.0600,2020-08-04
SPY2020-09-02C337.002020-08-04,SPY,2020-09-02,3.41,93,3.37,559,3.34,call,337.00,4,53,330.0600,2020-08-04
SPY2020-09-02C338.002020-08-04,SPY,2020-09-02,3.02,515,2.98,1094,2.74,call,338.00,19,84,330.0600,2020-08-04
SPY2020-09-02C339.002020-08-04,SPY,2020-09-02,2.66,352,2.63,822,2.28,call,339.00,6,51,330.0600,2020-08-04
SPY2020-09-02C340.002020-08-04,SPY,2020-09-02,2.34,865,2.31,21,2.21,call,340.00,64,156,330.0600,2020-08-04
SPY2020-09-02C341.002020-08-04,SPY,2020-09-02,2.04,403,2.01,1316,1.94,call,341.00,70,2368,330.0600,2020-08-04
SPY2020-09-02C342.002020-08-04,SPY,2020-09-02,1.78,142,1.75,1571,1.74,call,342.00,10,15,330.0600,2020-08-04
SPY2020-09-02C343.002020-08-04,SPY,2020-09-02,1.55,1021,1.52,1641,1.41,call,343.00,1,18,330.0600,2020-08-04
SPY2020-09-02C344.002020-08-04,SPY,2020-09-02,1.34,772,1.31,5536,1.20,call,344.00,0,3,330.0600,2020-08-04
SPY2020-09-02C345.002020-08-04,SPY,2020-09-02,1.16,901,1.14,949,1.06,call,345.00,6,27,330.0600,2020-08-04
SPY2020-09-02C346.002020-08-04,SPY,2020-09-02,1.00,135,0.98,4005,0.89,call,346.00,31,6,330.0600,2020-08-04
SPY2020-09-02C347.002020-08-04,SPY,2020-09-02,0.87,1696,0.85,2182,0.85,call,347.00,10,87,330.0600,2020-08-04
SPY2020-09-02C348.002020-08-04,SPY,2020-09-02,0.75,1134,0.73,3871,0.69,call,348.00,0,412,330.0600,2020-08-04
SPY2020-09-02C349.002020-08-04,SPY,2020-09-02,0.65,1174,0.63,4233,0.59,call,349.00,4,417,330.0600,2020-08-04
SPY2020-09-02C350.002020-08-04,SPY,2020-09-02,0.56,1431,0.55,371,0.49,call,350.00,19,73,330.0600,2020-08-04
SPY2020-09-02C351.002020-08-04,SPY,2020-09-02,0.49,1616,0.48,125,0,call,351.00,0,0,330.0600,2020-08-04
SPY2020-09-02C352.002020-08-04,SPY,2020-09-02,0.42,1332,0.41,2243,0,call,352.00,0,0,330.0600,2020-08-04
SPY2020-09-02C353.002020-08-04,SPY,2020-09-02,0.37,2086,0.35,3441,0,call,353.00,0,0,330.0600,2020-08-04
SPY2020-09-02C354.002020-08-04,SPY,2020-09-02,0.32,1775,0.31,244,0,call,354.00,0,0,330.0600,2020-08-04
SPY2020-09-02C355.002020-08-04,SPY,2020-09-02,0.28,2822,0.26,3963,0.27,call,355.00,4,60,330.0600,2020-08-04
SPY2020-09-02C356.002020-08-04,SPY,2020-09-02,0.24,1171,0.23,2779,0,call,356.00,0,0,330.0600,2020-08-04
SPY2020-09-02C357.002020-08-04,SPY,2020-09-02,0.21,1171,0.20,2436,0.21,call,357.00,2,0,330.0600,2020-08-04
SPY2020-09-02C358.002020-08-04,SPY,2020-09-02,0.18,234,0.17,5003,0,call,358.00,0,0,330.0600,2020-08-04
SPY2020-09-02C359.002020-08-04,SPY,2020-09-02,0.16,1174,0.15,4093,0,call,359.00,0,0,330.0600,2020-08-04
SPY2020-09-02C360.002020-08-04,SPY,2020-09-02,0.14,1176,0.13,8070,0.13,call,360.00,1,67,330.0600,2020-08-04
SPY2020-09-02C365.002020-08-04,SPY,2020-09-02,0.08,1960,0.07,3211,0.08,call,365.00,5,42,330.0600,2020-08-04
SPY2020-09-02C370.002020-08-04,SPY,2020-09-02,0.05,2692,0.04,3313,0.05,call,370.00,10,9,330.0600,2020-08-04
SPY2020-09-02C375.002020-08-04,SPY,2020-09-02,0.03,1310,0.02,4488,0.02,call,375.00,0,2,330.0600,2020-08-04
SPY2020-09-02C380.002020-08-04,SPY,2020-09-02,0.02,1310,0.01,4488,0.02,call,380.00,0,6,330.0600,2020-08-04
SPY2020-09-02C385.002020-08-04,SPY,2020-09-02,0.02,7069,0.01,2885,0.01,call,385.00,0,110,330.0600,2020-08-04
SPY2020-09-02C390.002020-08-04,SPY,2020-09-02,0.01,900,0,0,0,call,390.00,0,0,330.0600,2020-08-04
SPY2020-09-02P165.002020-08-04,SPY,2020-09-02,0.03,260,0.02,4743,0,put,165.00,0,0,330.0600,2020-08-04
SPY2020-09-02P170.002020-08-04,SPY,2020-09-02,0.04,4488,0.03,3315,0,put,170.00,0,0,330.0600,2020-08-04
SPY2020-09-02P175.002020-08-04,SPY,2020-09-02,0.04,3583,0.03,4473,0,put,175.00,0,0,330.0600,2020-08-04
SPY2020-09-02P180.002020-08-04,SPY,2020-09-02,0.05,4488,0.04,3311,0.06,put,180.00,0,2,330.0600,2020-08-04
SPY2020-09-02P185.002020-08-04,SPY,2020-09-02,0.05,1310,0.04,4468,0,put,185.00,0,0,330.0600,2020-08-04
SPY2020-09-02P190.002020-08-04,SPY,2020-09-02,0.06,4312,0.05,4473,0.07,put,190.00,0,100,330.0600,2020-08-04
SPY2020-09-02P195.002020-08-04,SPY,2020-09-02,0.07,5459,0.06,2596,0.13,put,195.00,0,7,330.0600,2020-08-04
SPY2020-09-02P200.002020-08-04,SPY,2020-09-02,0.07,1310,0.06,5369,0.07,put,200.00,4,5,330.0600,2020-08-04
SPY2020-09-02P205.002020-08-04,SPY,2020-09-02,0.08,260,0.07,6549,0.08,put,205.00,8,19,330.0600,2020-08-04
SPY2020-09-02P210.002020-08-04,SPY,2020-09-02,0.10,10379,0.09,2340,0.10,put,210.00,4,52,330.0600,2020-08-04
SPY2020-09-02P215.002020-08-04,SPY,2020-09-02,0.11,8265,0.10,2595,0.21,put,215.00,0,1,330.0600,2020-08-04
SPY2020-09-02P220.002020-08-04,SPY,2020-09-02,0.12,6995,0.11,2225,0.22,put,220.00,0,106,330.0600,2020-08-04
SPY2020-09-02P225.002020-08-04,SPY,2020-09-02,0.13,1960,0.12,3183,0.20,put,225.00,0,2,330.0600,2020-08-04
SPY2020-09-02P230.002020-08-04,SPY,2020-09-02,0.15,7923,0.14,1893,0.20,put,230.00,0,4,330.0600,2020-08-04
SPY2020-09-02P235.002020-08-04,SPY,2020-09-02,0.16,1310,0.15,3633,0,put,235.00,0,0,330.0600,2020-08-04
SPY2020-09-02P240.002020-08-04,SPY,2020-09-02,0.18,2588,0.17,6486,0.18,put,240.00,328,40175,330.0600,2020-08-04
SPY2020-09-02P245.002020-08-04,SPY,2020-09-02,0.21,6245,0.20,260,0,put,245.00,0,0,330.0600,2020-08-04
SPY2020-09-02P250.002020-08-04,SPY,2020-09-02,0.23,1833,0.22,5299,0.23,put,250.00,411,40141,330.0600,2020-08-04
SPY2020-09-02P255.002020-08-04,SPY,2020-09-02,0.27,6831,0.26,260,0.41,put,255.00,0,1,330.0600,2020-08-04
SPY2020-09-02P260.002020-08-04,SPY,2020-09-02,0.30,330,0.29,2973,0.52,put,260.00,0,2,330.0600,2020-08-04
