Symbol,ExpirationDate,AskPrice,AskSize,BidPrice,BidSize,LastPrice,PutCall,StrikePrice,Volume,ImpliedVolatility,Exchange,Delta,Gamma,Vega,Rho,OpenInterest,UnderlyingPrice,DataDate
A,20170616,26.60,20,22.85,18,0.00,call,35.00,0,2.71157,OPRA,0.95032,0.00484,0.00803,0.00550,0,59.2100,06-10-2017
A,20170616,24.2,20,19.7,1,0.0,call,37.50,0,2.03769,OPRA,0.96658,0.00467,0.00582,0.00615,0,59.2100,06-10-2017
A,20170616,21.60,20,17.90,18,0.00,call,40.00,0,2.15774,OPRA,0.93572,0.00745,0.00984,0.00622,0,59.2100,06-10-2017
A,20170616,19.15,1,14.80,1,0.00,call,42.50,0,1.58974,OPRA,0.95405,0.00775,0.00754,0.00689,0,59.2100,06-10-2017
A,20170616,16.60,20,12.65,18,0.00,call,45.00,0,1.51891,OPRA,0.92917,0.01140,0.01060,0.00704,0,59.2100,06-10-2017
A,20170616,13.80,2,11.10,21,11.14,call,47.50,0,1.51973,OPRA,0.88485,0.01635,0.01520,0.00697,5,59.2100,06-10-2017
A,20170616,10.2,21,8.5,21,10.7,call,50.00,0,0.79483,OPRA,0.95208,0.01603,0.00781,0.00820,72,59.2100,06-10-2017
A,20170616,8.90,73,6.45,37,8.33,call,52.50,0,1.11476,OPRA,0.81388,0.03074,0.02096,0.00707,48,59.2100,06-10-2017
A,20170616,4.80,92,4.10,23,4.27,call,55.00,6,0.48694,OPRA,0.88155,0.05205,0.01552,0.00833,425,59.2100,06-10-2017
A,20170616,1.92,45,1.76,55,1.96,call,57.50,33,0.20888,OPRA,0.86092,0.13565,0.01737,0.00858,6876,59.2100,06-10-2017
A,20170616,0.28,32,0.18,94,0.28,call,60.00,84,0.16889,OPRA,0.28327,0.25637,0.02650,0.00290,1986,59.2100,06-10-2017
A,20170616,0.04,64,0.02,95,0.03,call,62.50,1,0.23264,OPRA,0.04116,0.04845,0.00694,0.00042,346,59.2100,06-10-2017
A,20170616,0.03,54,0.00,0,0.05,call,65.00,0,0.32745,OPRA,0.01658,0.01610,0.00325,0.00017,282,59.2100,06-10-2017
A,20170616,0.03,54,0.00,0,0.02,call,70.00,0,0.54096,OPRA,0.01062,0.00663,0.00221,0.00011,95,59.2100,06-10-2017
A,20170616,0.03,33,0.00,0,0.00,put,35.00,0,1.54997,OPRA,-0.00378,0.00093,0.00088,-0.00004,0,59.2100,06-10-2017
A,20170616,0.06,73,0.00,0,0.00,put,37.50,0,1.47897,OPRA,-0.00741,0.00177,0.00161,-0.00008,0,59.2100,06-10-2017
A,20170616,0.03,32,0.00,0,0.00,put,40.00,0,1.18513,OPRA,-0.00487,0.00152,0.00111,-0.00005,0,59.2100,06-10-2017
A,20170616,0.03,57,0.00,0,0.00,put,42.50,0,1.01861,OPRA,-0.00565,0.00202,0.00127,-0.00006,0,59.2100,06-10-2017
A,20170616,0.03,54,0.00,0,0.05,put,45.00,1,0.85882,OPRA,-0.00662,0.00276,0.00146,-0.00007,1,59.2100,06-10-2017
A,20170616,0.03,58,0.00,0,0.05,put,47.50,0,0.70639,OPRA,-0.00797,0.00395,0.00172,-0.00008,12,59.2100,06-10-2017
A,20170616,0.03,48,0.00,0,0.02,put,50.00,1,0.55890,OPRA,-0.00991,0.00604,0.00208,-0.00010,942,59.2100,06-10-2017
A,20170616,0.03,54,0.00,0,0.01,put,52.50,0,0.41502,OPRA,-0.01303,0.01033,0.00264,-0.00013,510,59.2100,06-10-2017
A,20170616,0.01,4,0.00,0,0.03,put,55.00,2,0.23460,OPRA,-0.00815,0.01213,0.00176,-0.00008,5072,59.2100,06-10-2017
A,20170616,0.16,92,0.05,176,0.10,put,57.50,5,0.20171,OPRA,-0.13111,0.13494,0.01669,-0.00125,164,59.2100,06-10-2017
A,20170616,1.10,61,0.95,37,0.91,put,60.00,15,0.17521,OPRA,-0.71081,0.25049,0.02674,-0.00600,131,59.2100,06-10-2017
A,20170616,3.45,31,2.71,159,1.90,put,62.50,0,0.35104,OPRA,-0.87351,0.07597,0.01625,-0.00688,1,59.2100,06-10-2017
A,20170616,5.95,8,5.60,54,5.76,put,65.00,0,0.51917,OPRA,-0.90789,0.04088,0.01293,-0.00717,0,59.2100,06-10-2017
A,20170616,12.75,4,9.15,20,0.00,put,70.00,0,0.80687,OPRA,-0.93581,0.01999,0.00983,-0.00762,0,59.2100,06-10-2017
A,20170721,24.20,20,21.10,18,0.00,call,37.50,0,1.13199,OPRA,0.91920,0.00672,0.02971,0.02888,0,59.2100,06-10-2017
A,20170721,21.60,20,17.85,15,0.00,call,40.00,0,0.85761,OPRA,0.93541,0.00752,0.02504,0.03158,0,59.2100,06-10-2017
A,20170721,19.15,10,15.40,18,0.00,call,42.50,0,0.76776,OPRA,0.92303,0.00960,0.02865,0.03337,0,59.2100,06-10-2017
A,20170721,16.60,20,13.40,22,14.89,call,45.00,0,0.72935,OPRA,0.89462,0.01272,0.03616,0.03457,2,59.2100,06-10-2017
A,20170721,14.00,32,11.25,22,0.00,call,47.50,0,0.65221,OPRA,0.86935,0.01654,0.04209,0.03597,0,59.2100,06-10-2017
A,20170721,11.15,34,8.15,46,10.60,call,50.00,0,0.43041,OPRA,0.89508,0.02165,0.03607,0.03898,13,59.2100,06-10-2017
A,20170721,7.15,44,6.60,53,6.20,call,52.50,0,0.25542,OPRA,0.93385,0.02630,0.02519,0.03393,1,59.2100,06-10-2017
A,20170721,4.65,65,4.15,141,5.37,call,55.00,0,0.18429,OPRA,0.90008,0.04967,0.03430,0.03519,35,59.2100,06-10-2017
A,20170721,2.61,136,2.32,18,2.85,call,57.50,5,0.18943,OPRA,0.69027,0.09493,0.06982,0.03804,76,59.2100,06-10-2017
A,20170721,1.08,36,0.90,38,1.10,call,60.00,24,0.17112,OPRA,0.41591,0.11505,0.07758,0.02614,210,59.2100,06-10-2017
A,20170721,0.38,60,0.24,22,0.36,call,62.50,6,0.16952,OPRA,0.17535,0.07664,0.05151,0.01152,187,59.2100,06-10-2017
A,20170721,0.12,59,0.04,31,0.11,call,65.00,1,0.17272,OPRA,0.05592,0.03283,0.02260,0.00372,182,59.2100,06-10-2017
A,20170721,0.03,29,0.00,0,0.03,call,70.00,0,0.21347,OPRA,0.01059,0.00659,0.00565,0.00071,10,59.2100,06-10-2017
A,20170721,0.03,39,0.00,0,0.00,put,37.50,0,0.53322,OPRA,-0.00428,0.00119,0.00252,-0.00028,0,59.2100,06-10-2017
A,20170721,0.03,37,0.00,0,0.00,put,40.00,0,0.46405,OPRA,-0.00490,0.00154,0.00285,-0.00032,0,59.2100,06-10-2017
A,20170721,0.04,42,0.00,0,0.00,put,42.50,0,0.41247,OPRA,-0.00712,0.00241,0.00397,-0.00047,0,59.2100,06-10-2017
A,20170721,0.05,47,0.00,0,0.06,put,45.00,1,0.35835,OPRA,-0.00996,0.00372,0.00532,-0.00065,0,59.2100,06-10-2017
A,20170721,0.05,46,0.00,0,0.05,put,47.50,0,0.29509,OPRA,-0.01193,0.00529,0.00624,-0.00077,3,59.2100,06-10-2017
A,20170721,0.21,70,0.01,82,0.05,put,50.00,0,0.30059,OPRA,-0.04335,0.01539,0.01839,-0.00279,29,59.2100,06-10-2017
A,20170721,0.16,49,0.07,50,0.12,put,52.50,0,0.23026,OPRA,-0.05709,0.02503,0.02292,-0.00363,3,59.2100,06-10-2017
A,20170721,0.35,30,0.23,30,0.15,put,55.00,1,0.20417,OPRA,-0.13678,0.05403,0.04372,-0.00859,122,59.2100,06-10-2017
A,20170721,0.86,46,0.69,40,0.48,put,57.50,1,0.18610,OPRA,-0.31428,0.09618,0.07066,-0.01922,110,59.2100,06-10-2017
A,20170721,1.98,46,1.76,18,1.40,put,60.00,71,0.17605,OPRA,-0.58520,0.12145,0.07753,-0.03343,142,59.2100,06-10-2017
A,20170721,3.80,59,3.55,19,0.00,put,62.50,0,0.17245,OPRA,-0.82578,0.07627,0.05110,-0.04114,0,59.2100,06-10-2017
A,20170721,6.10,46,5.55,144,0.00,put,65.00,0,0.22686,OPRA,-0.88845,0.04290,0.03775,-0.04366,0,59.2100,06-10-2017
A,20170721,11.45,10,9.30,58,0.00,put,70.00,0,0.43993,OPRA,-0.85833,0.02589,0.04460,-0.04914,0,59.2100,06-10-2017
A,20170818,36.60,20,33.70,18,0.00,call,25.00,0,1.48141,OPRA,0.95159,0.00264,0.02589,0.03837,0,59.2100,06-10-2017
A,20170818,34.20,30,31.25,18,0.00,call,27.50,0,1.36352,OPRA,0.94406,0.00322,0.02904,0.04254,0,59.2100,06-10-2017
A,20170818,31.60,20,28.40,18,0.00,call,30.00,0,1.15534,OPRA,0.94569,0.00371,0.02838,0.04725,0,59.2100,06-10-2017
A,20170818,29.15,20,26.40,52,0.00,call,32.50,0,1.12287,OPRA,0.92957,0.00467,0.03475,0.05082,0,59.2100,06-10-2017
A,20170818,26.60,20,23.80,18,0.00,call,35.00,0,0.98832,OPRA,0.92481,0.00558,0.03654,0.05514,0,59.2100,06-10-2017
A,20170818,24.20,20,20.35,18,0.00,call,37.50,0,0.76354,OPRA,0.93844,0.00619,0.03133,0.06093,0,59.2100,06-10-2017
A,20170818,21.60,20,18.70,18,16.30,call,40.00,0,0.77210,OPRA,0.90926,0.00823,0.04210,0.06327,10,59.2100,06-10-2017
A,20170818,18.30,10,16.30,18,14.25,call,42.50,0,0.59566,OPRA,0.92073,0.00964,0.03806,0.06907,25,59.2100,06-10-2017
A,20170818,15.90,10,13.65,72,8.70,call,45.00,0,0.50783,OPRA,0.91208,0.01223,0.04114,0.07311,3,59.2100,06-10-2017
A,20170818,13.35,10,11.10,61,9.10,call,47.50,0,0.41845,OPRA,0.90369,0.01587,0.04403,0.07716,173,59.2100,06-10-2017
A,20170818,10.95,50,8.60,68,10.25,call,50.00,3,0.35343,OPRA,0.88063,0.02193,0.05139,0.07972,163,59.2100,06-10-2017
A,20170818,8.50,101,6.60,132,8.40,call,52.50,0,0.32190,OPRA,0.82358,0.03126,0.06682,0.07824,225,59.2100,06-10-2017
A,20170818,5.35,145,4.70,45,5.55,call,55.00,0,0.23643,OPRA,0.77923,0.04874,0.07651,0.07817,1628,59.2100,06-10-2017
A,20170818,3.15,47,2.92,97,3.98,call,57.50,0,0.20389,OPRA,0.64684,0.07080,0.09576,0.06723,979,59.2100,06-10-2017
A,20170818,1.79,144,1.62,13,1.75,call,60.00,3,0.20026,OPRA,0.45790,0.07697,0.10220,0.04861,346,59.2100,06-10-2017
A,20170818,0.92,80,0.75,36,1.10,call,62.50,11,0.19644,OPRA,0.27879,0.06643,0.08662,0.03010,213,59.2100,06-10-2017
A,20170818,0.41,56,0.30,52,0.59,call,65.00,0,0.19346,OPRA,0.14411,0.04557,0.05866,0.01578,67,59.2100,06-10-2017
A,20170818,0.08,49,0.02,102,0.13,call,70.00,0,0.19463,OPRA,0.02689,0.01239,0.01617,0.00300,36,59.2100,06-10-2017
A,20170818,0.03,10,0.00,0,0.05,put,25.00,0,0.74406,OPRA,-0.00240,0.00039,0.00194,-0.00028,15,59.2100,06-10-2017
A,20170818,0.03,36,0.00,0,0.00,put,27.50,0,0.66627,OPRA,-0.00268,0.00048,0.00214,-0.00031,0,59.2100,06-10-2017
A,20170818,0.04,20,0.00,0,0.05,put,30.00,0,0.61475,OPRA,-0.00379,0.00071,0.00292,-0.00043,1,59.2100,06-10-2017
A,20170818,0.03,37,0.00,0,0.00,put,32.50,0,0.53036,OPRA,-0.00337,0.00074,0.00263,-0.00038,0,59.2100,06-10-2017
A,20170818,0.03,37,0.00,0,0.01,put,35.00,0,0.46948,OPRA,-0.00378,0.00093,0.00293,-0.00042,46,59.2100,06-10-2017
A,20170818,0.06,47,0.00,0,0.07,put,37.50,0,0.44808,OPRA,-0.00743,0.00178,0.00532,-0.00083,56,59.2100,06-10-2017
A,20170818,0.04,49,0.00,0,0.02,put,40.00,0,0.37142,OPRA,-0.00615,0.00182,0.00452,-0.00068,15,59.2100,06-10-2017
A,20170818,0.06,47,0.00,0,0.04,put,42.50,0,0.33629,OPRA,-0.00976,0.00301,0.00678,-0.00107,19,59.2100,06-10-2017
A,20170818,0.06,48,0.01,37,0.22,put,45.00,0,0.29057,OPRA,-0.01287,0.00443,0.00862,-0.00139,71,59.2100,06-10-2017
A,20170818,0.14,82,0.04,22,0.07,put,47.50,0,0.27956,OPRA,-0.03077,0.00965,0.01801,-0.00333,1177,59.2100,06-10-2017
A,20170818,0.19,26,0.13,15,0.16,put,50.00,0,0.25218,OPRA,-0.05554,0.01727,0.02902,-0.00597,390,59.2100,06-10-2017
A,20170818,0.42,122,0.29,33,0.25,put,52.50,0,0.23878,OPRA,-0.11357,0.03132,0.04970,-0.01214,781,59.2100,06-10-2017
A,20170818,0.74,21,0.61,61,0.58,put,55.00,0,0.21766,OPRA,-0.20489,0.05078,0.07327,-0.02161,230,59.2100,06-10-2017
A,20170818,1.44,10,1.33,18,1.32,put,57.50,12,0.21039,OPRA,-0.35822,0.06919,0.09621,-0.03689,123,59.2100,06-10-2017
A,20170818,2.58,48,2.41,59,2.45,put,60.00,1,0.20044,OPRA,-0.54528,0.07734,0.10205,-0.05305,39,59.2100,06-10-2017
A,20170818,4.20,41,4.05,26,3.63,put,62.50,10,0.19596,OPRA,-0.72766,0.08911,0.08544,-0.06344,10,59.2100,06-10-2017
A,20170818,6.25,41,6.10,18,0.00,put,65.00,0,0.19559,OPRA,-0.86258,0.04492,0.05626,-0.06193,0,59.2100,06-10-2017
A,20170818,11.75,55,10.40,77,12.60,put,70.00,0,0.26948,OPRA,-0.92124,0.11878,0.03786,-0.06198,4,59.2100,06-10-2017
A,20171117,26.35,22,22.65,10,18.70,call,35.00,0,0.48736,OPRA,0.96483,0.00415,0.03037,0.11277,12,59.2100,06-10-2017
A,20171117,24.20,20,20.00,10,19.21,call,37.50,0,0.45753,OPRA,0.95312,0.00556,0.03833,0.12028,2,59.2100,06-10-2017
A,20171117,21.45,22,17.70,10,0.00,call,40.00,0,0.39488,OPRA,0.95038,0.00674,0.04013,0.12977,0,59.2100,06-10-2017
A,20171117,19.20,10,14.80,36,13.81,call,42.50,0,0.32372,OPRA,0.95303,0.00789,0.03844,0.14217,3,59.2100,06-10-2017
A,20171117,16.50,31,13.55,46,9.35,call,45.00,0,0.36732,OPRA,0.89669,0.01261,0.07026,0.14815,11,59.2100,06-10-2017
A,20171117,12.55,36,11.90,39,0.00,call,47.50,0,0.26949,OPRA,0.91013,0.01556,0.06351,0.16259,0,59.2100,06-10-2017
A,20171117,10.15,44,9.75,36,11.15,call,50.00,0,0.24935,OPRA,0.86917,0.02197,0.08311,0.16778,7,59.2100,06-10-2017
A,20171117,8.15,53,7.65,68,8.90,call,52.50,0,0.24149,OPRA,0.80128,0.02971,0.10897,0.16568,208,59.2100,06-10-2017
A,20171117,6.10,41,5.75,36,4.02,call,55.00,0,0.22456,OPRA,0.71950,0.03851,0.13176,0.15724,54,59.2100,06-10-2017
A,20171117,4.40,53,4.10,36,5.50,call,57.50,0,0.21406,OPRA,0.61349,0.04585,0.14959,0.13929,42,59.2100,06-10-2017
A,20171117,3.10,51,2.77,52,3.35,call,60.00,1,0.20914,OPRA,0.49368,0.04889,0.15591,0.11542,35,59.2100,06-10-2017
A,20171117,2.03,9,1.73,113,2.00,call,62.50,0,0.20192,OPRA,0.37189,0.04800,0.14787,0.08924,13,59.2100,06-10-2017
A,20171117,1.27,9,1.13,31,1.81,call,65.00,0,0.20164,OPRA,0.26716,0.04178,0.12871,0.06511,10,59.2100,06-10-2017
A,20171117,0.48,42,0.35,35,0.62,call,70.00,0,0.19859,OPRA,0.11577,0.02515,0.07654,0.02894,23,59.2100,06-10-2017
A,20171117,0.09,31,0.00,0,0.09,put,35.00,0,0.35351,OPRA,-0.00902,0.00176,0.00959,-0.00233,8,59.2100,06-10-2017
A,20171117,0.32,42,0.03,34,0.00,put,37.50,0,0.38596,OPRA,-0.02761,0.00421,0.02493,-0.00725,0,59.2100,06-10-2017
A,20171117,0.17,42,0.06,41,0.11,put,40.00,0,0.31441,OPRA,-0.02324,0.00447,0.02161,-0.00596,19,59.2100,06-10-2017
A,20171117,0.25,32,0.12,52,0.00,put,42.50,0,0.29740,OPRA,-0.03707,0.00697,0.03182,-0.00949,0,59.2100,06-10-2017
A,20171117,0.30,21,0.22,32,0.65,put,45.00,0,0.27341,OPRA,-0.05366,0.01022,0.04284,-0.01367,4,59.2100,06-10-2017
A,20171117,0.47,22,0.35,79,0.33,put,47.50,0,0.25719,OPRA,-0.08327,0.01527,0.06010,-0.02115,25,59.2100,06-10-2017
A,20171117,0.71,33,0.56,61,0.52,put,50.00,0,0.24098,OPRA,-0.12633,0.02206,0.08127,-0.03193,7,59.2100,06-10-2017
A,20171117,1.17,41,1.01,30,0.87,put,52.50,0,0.23614,OPRA,-0.19717,0.03016,0.10866,-0.04963,7,59.2100,06-10-2017
A,20171117,1.77,31,1.57,63,1.33,put,55.00,0,0.22484,OPRA,-0.28315,0.03867,0.13235,-0.07070,26,59.2100,06-10-2017
A,20171117,2.61,31,2.36,72,0.00,put,57.50,0,0.21408,OPRA,-0.38960,0.05851,0.14994,-0.09628,0,59.2100,06-10-2017
A,20171117,3.80,31,3.60,12,3.15,put,60.00,0,0.21137,OPRA,-0.50948,0.04861,0.15583,-0.12470,18,59.2100,06-10-2017
A,20171117,5.30,41,5.05,36,0.00,put,62.50,0,0.20650,OPRA,-0.62859,0.04726,0.14778,-0.14946,0,59.2100,06-10-2017
A,20171117,7.05,31,6.75,62,0.00,put,65.00,0,0.19956,OPRA,-0.74067,0.04207,0.12663,-0.16207,0,59.2100,06-10-2017
A,20171117,11.25,30,10.85,220,0.00,put,70.00,0,0.18263,OPRA,-0.91987,0.02163,0.05703,-0.11059,0,59.2100,06-10-2017
A,20180119,41.60,20,37.15,48,0.00,call,20.00,0,0.76666,OPRA,0.98465,0.00112,0.01764,0.07533,0,59.2100,06-10-2017
A,20180119,39.15,10,34.60,1,0.00,call,22.50,0,0.68223,OPRA,0.98345,0.00134,0.01882,0.08767,0,59.2100,06-10-2017
A,20180119,36.60,20,32.25,1,0.00,call,25.00,0,0.63099,OPRA,0.97939,0.00174,0.02267,0.10634,0,59.2100,06-10-2017
A,20180119,34.20,30,29.70,10,0.00,call,27.50,0,0.57268,OPRA,0.97628,0.00216,0.02553,0.12455,0,59.2100,06-10-2017
A,20180119,31.40,21,27.15,44,15.90,call,30.00,0,0.42068,OPRA,0.99098,0.00129,0.01091,0.13288,1,59.2100,06-10-2017
A,20180119,29.00,21,24.65,10,0.00,call,32.50,0,0.40058,OPRA,0.98319,0.00231,0.01912,0.15612,0,59.2100,06-10-2017
